fecha;a¤o;mes;dia
27/01/2016;2016;1;27
28/01/2016;2016;1;28
29/01/2016;2016;1;29
30/01/2016;2016;1;30
31/01/2016;2016;1;31
01/02/2016;2016;2;1
02/02/2016;2016;2;2
03/02/2016;2016;2;3
04/02/2016;2016;2;4
05/02/2016;2016;2;5
06/02/2016;2016;2;6
07/02/2016;2016;2;7
08/02/2016;2016;2;8
09/02/2016;2016;2;9
10/02/2016;2016;2;10
11/02/2016;2016;2;11
12/02/2016;2016;2;12
13/02/2016;2016;2;13
14/02/2016;2016;2;14
15/02/2016;2016;2;15
16/02/2016;2016;2;16
17/02/2016;2016;2;17
18/02/2016;2016;2;18
19/02/2016;2016;2;19
20/02/2016;2016;2;20
21/02/2016;2016;2;21
22/02/2016;2016;2;22
23/02/2016;2016;2;23
24/02/2016;2016;2;24
25/02/2016;2016;2;25
26/02/2016;2016;2;26
27/02/2016;2016;2;27
28/02/2016;2016;2;28
29/02/2016;2016;2;29
01/03/2016;2016;3;1
02/03/2016;2016;3;2
03/03/2016;2016;3;3
04/03/2016;2016;3;4
05/03/2016;2016;3;5
06/03/2016;2016;3;6
07/03/2016;2016;3;7
08/03/2016;2016;3;8
09/03/2016;2016;3;9
10/03/2016;2016;3;10
11/03/2016;2016;3;11
12/03/2016;2016;3;12
13/03/2016;2016;3;13
14/03/2016;2016;3;14
15/03/2016;2016;3;15
16/03/2016;2016;3;16
17/03/2016;2016;3;17
18/03/2016;2016;3;18
19/03/2016;2016;3;19
20/03/2016;2016;3;20
21/03/2016;2016;3;21
22/03/2016;2016;3;22
23/03/2016;2016;3;23
24/03/2016;2016;3;24
25/03/2016;2016;3;25
26/03/2016;2016;3;26
27/03/2016;2016;3;27
28/03/2016;2016;3;28
29/03/2016;2016;3;29
30/03/2016;2016;3;30
31/03/2016;2016;3;31
01/04/2016;2016;4;1
02/04/2016;2016;4;2
03/04/2016;2016;4;3
04/04/2016;2016;4;4
05/04/2016;2016;4;5
06/04/2016;2016;4;6
07/04/2016;2016;4;7
08/04/2016;2016;4;8
09/04/2016;2016;4;9
10/04/2016;2016;4;10
11/04/2016;2016;4;11
12/04/2016;2016;4;12
13/04/2016;2016;4;13
14/04/2016;2016;4;14
15/04/2016;2016;4;15
16/04/2016;2016;4;16
17/04/2016;2016;4;17
18/04/2016;2016;4;18
19/04/2016;2016;4;19
20/04/2016;2016;4;20
21/04/2016;2016;4;21
22/04/2016;2016;4;22
23/04/2016;2016;4;23
24/04/2016;2016;4;24
25/04/2016;2016;4;25
26/04/2016;2016;4;26
27/04/2016;2016;4;27
28/04/2016;2016;4;28
29/04/2016;2016;4;29
30/04/2016;2016;4;30
01/05/2016;2016;5;1
02/05/2016;2016;5;2
03/05/2016;2016;5;3
04/05/2016;2016;5;4
05/05/2016;2016;5;5
06/05/2016;2016;5;6
07/05/2016;2016;5;7
08/05/2016;2016;5;8
09/05/2016;2016;5;9
10/05/2016;2016;5;10
11/05/2016;2016;5;11
12/05/2016;2016;5;12
13/05/2016;2016;5;13
14/05/2016;2016;5;14
15/05/2016;2016;5;15
16/05/2016;2016;5;16
17/05/2016;2016;5;17
18/05/2016;2016;5;18
19/05/2016;2016;5;19
20/05/2016;2016;5;20
21/05/2016;2016;5;21
22/05/2016;2016;5;22
23/05/2016;2016;5;23
24/05/2016;2016;5;24
25/05/2016;2016;5;25
26/05/2016;2016;5;26
27/05/2016;2016;5;27
28/05/2016;2016;5;28
29/05/2016;2016;5;29
30/05/2016;2016;5;30
31/05/2016;2016;5;31
01/06/2016;2016;6;1
02/06/2016;2016;6;2
03/06/2016;2016;6;3
04/06/2016;2016;6;4
05/06/2016;2016;6;5
06/06/2016;2016;6;6
07/06/2016;2016;6;7
08/06/2016;2016;6;8
09/06/2016;2016;6;9
10/06/2016;2016;6;10
11/06/2016;2016;6;11
12/06/2016;2016;6;12
13/06/2016;2016;6;13
14/06/2016;2016;6;14
15/06/2016;2016;6;15
16/06/2016;2016;6;16
17/06/2016;2016;6;17
18/06/2016;2016;6;18
19/06/2016;2016;6;19
20/06/2016;2016;6;20
21/06/2016;2016;6;21
22/06/2016;2016;6;22
23/06/2016;2016;6;23
24/06/2016;2016;6;24
25/06/2016;2016;6;25
26/06/2016;2016;6;26
27/06/2016;2016;6;27
28/06/2016;2016;6;28
29/06/2016;2016;6;29
30/06/2016;2016;6;30
01/07/2016;2016;7;1
02/07/2016;2016;7;2
03/07/2016;2016;7;3
04/07/2016;2016;7;4
05/07/2016;2016;7;5
06/07/2016;2016;7;6
07/07/2016;2016;7;7
08/07/2016;2016;7;8
09/07/2016;2016;7;9
10/07/2016;2016;7;10
11/07/2016;2016;7;11
12/07/2016;2016;7;12
13/07/2016;2016;7;13
14/07/2016;2016;7;14
15/07/2016;2016;7;15
16/07/2016;2016;7;16
17/07/2016;2016;7;17
18/07/2016;2016;7;18
19/07/2016;2016;7;19
20/07/2016;2016;7;20
21/07/2016;2016;7;21
22/07/2016;2016;7;22
23/07/2016;2016;7;23
24/07/2016;2016;7;24
25/07/2016;2016;7;25
26/07/2016;2016;7;26
27/07/2016;2016;7;27
28/07/2016;2016;7;28
29/07/2016;2016;7;29
30/07/2016;2016;7;30
31/07/2016;2016;7;31
01/08/2016;2016;8;1
02/08/2016;2016;8;2
03/08/2016;2016;8;3
04/08/2016;2016;8;4
05/08/2016;2016;8;5
06/08/2016;2016;8;6
07/08/2016;2016;8;7
08/08/2016;2016;8;8
09/08/2016;2016;8;9
10/08/2016;2016;8;10
11/08/2016;2016;8;11
12/08/2016;2016;8;12
13/08/2016;2016;8;13
14/08/2016;2016;8;14
15/08/2016;2016;8;15
16/08/2016;2016;8;16
17/08/2016;2016;8;17
18/08/2016;2016;8;18
19/08/2016;2016;8;19
20/08/2016;2016;8;20
21/08/2016;2016;8;21
22/08/2016;2016;8;22
23/08/2016;2016;8;23
24/08/2016;2016;8;24
25/08/2016;2016;8;25
26/08/2016;2016;8;26
27/08/2016;2016;8;27
28/08/2016;2016;8;28
29/08/2016;2016;8;29
30/08/2016;2016;8;30
31/08/2016;2016;8;31
01/09/2016;2016;9;1
02/09/2016;2016;9;2
03/09/2016;2016;9;3
04/09/2016;2016;9;4
05/09/2016;2016;9;5
06/09/2016;2016;9;6
07/09/2016;2016;9;7
08/09/2016;2016;9;8
09/09/2016;2016;9;9
10/09/2016;2016;9;10
11/09/2016;2016;9;11
12/09/2016;2016;9;12
13/09/2016;2016;9;13
14/09/2016;2016;9;14
15/09/2016;2016;9;15
16/09/2016;2016;9;16
17/09/2016;2016;9;17
18/09/2016;2016;9;18
19/09/2016;2016;9;19
20/09/2016;2016;9;20
21/09/2016;2016;9;21
22/09/2016;2016;9;22
23/09/2016;2016;9;23
24/09/2016;2016;9;24
25/09/2016;2016;9;25
26/09/2016;2016;9;26
27/09/2016;2016;9;27
28/09/2016;2016;9;28
29/09/2016;2016;9;29
30/09/2016;2016;9;30
01/10/2016;2016;10;1
02/10/2016;2016;10;2
03/10/2016;2016;10;3
04/10/2016;2016;10;4
05/10/2016;2016;10;5
06/10/2016;2016;10;6
07/10/2016;2016;10;7
08/10/2016;2016;10;8
09/10/2016;2016;10;9
10/10/2016;2016;10;10
11/10/2016;2016;10;11
12/10/2016;2016;10;12
13/10/2016;2016;10;13
14/10/2016;2016;10;14
15/10/2016;2016;10;15
16/10/2016;2016;10;16
17/10/2016;2016;10;17
18/10/2016;2016;10;18
19/10/2016;2016;10;19
20/10/2016;2016;10;20
21/10/2016;2016;10;21
22/10/2016;2016;10;22
23/10/2016;2016;10;23
24/10/2016;2016;10;24
25/10/2016;2016;10;25
26/10/2016;2016;10;26
27/10/2016;2016;10;27
28/10/2016;2016;10;28
29/10/2016;2016;10;29
30/10/2016;2016;10;30
31/10/2016;2016;10;31
01/11/2016;2016;11;1
02/11/2016;2016;11;2
03/11/2016;2016;11;3
04/11/2016;2016;11;4
05/11/2016;2016;11;5
06/11/2016;2016;11;6
07/11/2016;2016;11;7
08/11/2016;2016;11;8
09/11/2016;2016;11;9
10/11/2016;2016;11;10
11/11/2016;2016;11;11
12/11/2016;2016;11;12
13/11/2016;2016;11;13
14/11/2016;2016;11;14
15/11/2016;2016;11;15
16/11/2016;2016;11;16
17/11/2016;2016;11;17
18/11/2016;2016;11;18
19/11/2016;2016;11;19
20/11/2016;2016;11;20
21/11/2016;2016;11;21
22/11/2016;2016;11;22
23/11/2016;2016;11;23
24/11/2016;2016;11;24
25/11/2016;2016;11;25
26/11/2016;2016;11;26
27/11/2016;2016;11;27
28/11/2016;2016;11;28
29/11/2016;2016;11;29
30/11/2016;2016;11;30
01/12/2016;2016;12;1
02/12/2016;2016;12;2
03/12/2016;2016;12;3
04/12/2016;2016;12;4
05/12/2016;2016;12;5
06/12/2016;2016;12;6
07/12/2016;2016;12;7
08/12/2016;2016;12;8
09/12/2016;2016;12;9
10/12/2016;2016;12;10
11/12/2016;2016;12;11
12/12/2016;2016;12;12
13/12/2016;2016;12;13
14/12/2016;2016;12;14
15/12/2016;2016;12;15
16/12/2016;2016;12;16
17/12/2016;2016;12;17
18/12/2016;2016;12;18
19/12/2016;2016;12;19
20/12/2016;2016;12;20
21/12/2016;2016;12;21
22/12/2016;2016;12;22
23/12/2016;2016;12;23
24/12/2016;2016;12;24
25/12/2016;2016;12;25
26/12/2016;2016;12;26
27/12/2016;2016;12;27
28/12/2016;2016;12;28
29/12/2016;2016;12;29
30/12/2016;2016;12;30
31/12/2016;2016;12;31
01/01/2017;2017;1;1
02/01/2017;2017;1;2
03/01/2017;2017;1;3
04/01/2017;2017;1;4
05/01/2017;2017;1;5
06/01/2017;2017;1;6
07/01/2017;2017;1;7
08/01/2017;2017;1;8
09/01/2017;2017;1;9
10/01/2017;2017;1;10
11/01/2017;2017;1;11
12/01/2017;2017;1;12
13/01/2017;2017;1;13
14/01/2017;2017;1;14
15/01/2017;2017;1;15
16/01/2017;2017;1;16
17/01/2017;2017;1;17
18/01/2017;2017;1;18
19/01/2017;2017;1;19
20/01/2017;2017;1;20
21/01/2017;2017;1;21
22/01/2017;2017;1;22
23/01/2017;2017;1;23
24/01/2017;2017;1;24
25/01/2017;2017;1;25
26/01/2017;2017;1;26
27/01/2017;2017;1;27
28/01/2017;2017;1;28
29/01/2017;2017;1;29
30/01/2017;2017;1;30
31/01/2017;2017;1;31
01/02/2017;2017;2;1
02/02/2017;2017;2;2
03/02/2017;2017;2;3
04/02/2017;2017;2;4
05/02/2017;2017;2;5
06/02/2017;2017;2;6
07/02/2017;2017;2;7
08/02/2017;2017;2;8
09/02/2017;2017;2;9
10/02/2017;2017;2;10
11/02/2017;2017;2;11
12/02/2017;2017;2;12
13/02/2017;2017;2;13
14/02/2017;2017;2;14
15/02/2017;2017;2;15
16/02/2017;2017;2;16
17/02/2017;2017;2;17
18/02/2017;2017;2;18
19/02/2017;2017;2;19
20/02/2017;2017;2;20
21/02/2017;2017;2;21
22/02/2017;2017;2;22
23/02/2017;2017;2;23
24/02/2017;2017;2;24
25/02/2017;2017;2;25
26/02/2017;2017;2;26
27/02/2017;2017;2;27
28/02/2017;2017;2;28
01/03/2017;2017;3;1
02/03/2017;2017;3;2
03/03/2017;2017;3;3
04/03/2017;2017;3;4
05/03/2017;2017;3;5
06/03/2017;2017;3;6
07/03/2017;2017;3;7
08/03/2017;2017;3;8
09/03/2017;2017;3;9
10/03/2017;2017;3;10
11/03/2017;2017;3;11
12/03/2017;2017;3;12
13/03/2017;2017;3;13
14/03/2017;2017;3;14
15/03/2017;2017;3;15
16/03/2017;2017;3;16
17/03/2017;2017;3;17
18/03/2017;2017;3;18
19/03/2017;2017;3;19
20/03/2017;2017;3;20
21/03/2017;2017;3;21
22/03/2017;2017;3;22
23/03/2017;2017;3;23
24/03/2017;2017;3;24
25/03/2017;2017;3;25
26/03/2017;2017;3;26
27/03/2017;2017;3;27
28/03/2017;2017;3;28
29/03/2017;2017;3;29
30/03/2017;2017;3;30
31/03/2017;2017;3;31
01/04/2017;2017;4;1
02/04/2017;2017;4;2
03/04/2017;2017;4;3
04/04/2017;2017;4;4
05/04/2017;2017;4;5
06/04/2017;2017;4;6
07/04/2017;2017;4;7
08/04/2017;2017;4;8
09/04/2017;2017;4;9
10/04/2017;2017;4;10
11/04/2017;2017;4;11
12/04/2017;2017;4;12
13/04/2017;2017;4;13
14/04/2017;2017;4;14
15/04/2017;2017;4;15
16/04/2017;2017;4;16
17/04/2017;2017;4;17
18/04/2017;2017;4;18
19/04/2017;2017;4;19
20/04/2017;2017;4;20
21/04/2017;2017;4;21
22/04/2017;2017;4;22
23/04/2017;2017;4;23
24/04/2017;2017;4;24
25/04/2017;2017;4;25
26/04/2017;2017;4;26
27/04/2017;2017;4;27
28/04/2017;2017;4;28
29/04/2017;2017;4;29
30/04/2017;2017;4;30
01/05/2017;2017;5;1
02/05/2017;2017;5;2
03/05/2017;2017;5;3
04/05/2017;2017;5;4
05/05/2017;2017;5;5
06/05/2017;2017;5;6
07/05/2017;2017;5;7
08/05/2017;2017;5;8
09/05/2017;2017;5;9
10/05/2017;2017;5;10
11/05/2017;2017;5;11
12/05/2017;2017;5;12
13/05/2017;2017;5;13
14/05/2017;2017;5;14
15/05/2017;2017;5;15
16/05/2017;2017;5;16
17/05/2017;2017;5;17
18/05/2017;2017;5;18
19/05/2017;2017;5;19
20/05/2017;2017;5;20
21/05/2017;2017;5;21
22/05/2017;2017;5;22
23/05/2017;2017;5;23
24/05/2017;2017;5;24
25/05/2017;2017;5;25
26/05/2017;2017;5;26
27/05/2017;2017;5;27
28/05/2017;2017;5;28
29/05/2017;2017;5;29
30/05/2017;2017;5;30
31/05/2017;2017;5;31
01/06/2017;2017;6;1
02/06/2017;2017;6;2
03/06/2017;2017;6;3
04/06/2017;2017;6;4
05/06/2017;2017;6;5
06/06/2017;2017;6;6
07/06/2017;2017;6;7
08/06/2017;2017;6;8
09/06/2017;2017;6;9
10/06/2017;2017;6;10
11/06/2017;2017;6;11
12/06/2017;2017;6;12
13/06/2017;2017;6;13
14/06/2017;2017;6;14
15/06/2017;2017;6;15
16/06/2017;2017;6;16
17/06/2017;2017;6;17
18/06/2017;2017;6;18
19/06/2017;2017;6;19
20/06/2017;2017;6;20
21/06/2017;2017;6;21
22/06/2017;2017;6;22
23/06/2017;2017;6;23
24/06/2017;2017;6;24
25/06/2017;2017;6;25
26/06/2017;2017;6;26
27/06/2017;2017;6;27
28/06/2017;2017;6;28
29/06/2017;2017;6;29
30/06/2017;2017;6;30
01/07/2017;2017;7;1
02/07/2017;2017;7;2
03/07/2017;2017;7;3
04/07/2017;2017;7;4
05/07/2017;2017;7;5
06/07/2017;2017;7;6
07/07/2017;2017;7;7
08/07/2017;2017;7;8
09/07/2017;2017;7;9
10/07/2017;2017;7;10
11/07/2017;2017;7;11
12/07/2017;2017;7;12
13/07/2017;2017;7;13
14/07/2017;2017;7;14
15/07/2017;2017;7;15
16/07/2017;2017;7;16
17/07/2017;2017;7;17
18/07/2017;2017;7;18
19/07/2017;2017;7;19
20/07/2017;2017;7;20
21/07/2017;2017;7;21
22/07/2017;2017;7;22
23/07/2017;2017;7;23
24/07/2017;2017;7;24
25/07/2017;2017;7;25
26/07/2017;2017;7;26
27/07/2017;2017;7;27
28/07/2017;2017;7;28
29/07/2017;2017;7;29
30/07/2017;2017;7;30
31/07/2017;2017;7;31
01/08/2017;2017;8;1
02/08/2017;2017;8;2
03/08/2017;2017;8;3
04/08/2017;2017;8;4
05/08/2017;2017;8;5
06/08/2017;2017;8;6
07/08/2017;2017;8;7
08/08/2017;2017;8;8
09/08/2017;2017;8;9
10/08/2017;2017;8;10
11/08/2017;2017;8;11
12/08/2017;2017;8;12
13/08/2017;2017;8;13
14/08/2017;2017;8;14
15/08/2017;2017;8;15
16/08/2017;2017;8;16
17/08/2017;2017;8;17
18/08/2017;2017;8;18
19/08/2017;2017;8;19
20/08/2017;2017;8;20
21/08/2017;2017;8;21
22/08/2017;2017;8;22
23/08/2017;2017;8;23
24/08/2017;2017;8;24
25/08/2017;2017;8;25
26/08/2017;2017;8;26
27/08/2017;2017;8;27
28/08/2017;2017;8;28
29/08/2017;2017;8;29
30/08/2017;2017;8;30
31/08/2017;2017;8;31
01/09/2017;2017;9;1
02/09/2017;2017;9;2
03/09/2017;2017;9;3
04/09/2017;2017;9;4
05/09/2017;2017;9;5
06/09/2017;2017;9;6
07/09/2017;2017;9;7
08/09/2017;2017;9;8
09/09/2017;2017;9;9
10/09/2017;2017;9;10
11/09/2017;2017;9;11
12/09/2017;2017;9;12
13/09/2017;2017;9;13
14/09/2017;2017;9;14
15/09/2017;2017;9;15
16/09/2017;2017;9;16
17/09/2017;2017;9;17
18/09/2017;2017;9;18
19/09/2017;2017;9;19
20/09/2017;2017;9;20
21/09/2017;2017;9;21
22/09/2017;2017;9;22
23/09/2017;2017;9;23
24/09/2017;2017;9;24
25/09/2017;2017;9;25
26/09/2017;2017;9;26
27/09/2017;2017;9;27
28/09/2017;2017;9;28
29/09/2017;2017;9;29
30/09/2017;2017;9;30
01/10/2017;2017;10;1
02/10/2017;2017;10;2
03/10/2017;2017;10;3
04/10/2017;2017;10;4
05/10/2017;2017;10;5
06/10/2017;2017;10;6
07/10/2017;2017;10;7
08/10/2017;2017;10;8
09/10/2017;2017;10;9
10/10/2017;2017;10;10
11/10/2017;2017;10;11
12/10/2017;2017;10;12
13/10/2017;2017;10;13
14/10/2017;2017;10;14
15/10/2017;2017;10;15
16/10/2017;2017;10;16
17/10/2017;2017;10;17
18/10/2017;2017;10;18
19/10/2017;2017;10;19
20/10/2017;2017;10;20
21/10/2017;2017;10;21
22/10/2017;2017;10;22
23/10/2017;2017;10;23
24/10/2017;2017;10;24
25/10/2017;2017;10;25
26/10/2017;2017;10;26
27/10/2017;2017;10;27
28/10/2017;2017;10;28
29/10/2017;2017;10;29
30/10/2017;2017;10;30
31/10/2017;2017;10;31
